id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link
6,RadioMaryja,"Wybory to nie show. Decyzja PKW zapadła i nie ma mowy o przeliczaniu głosów, wskazuje Piotr Gaglik. Więcej na radiomaryja.pl #radioamryja #tvtrwam #PKW #Wybory2025 #PolskaPolityka #StopDezinformacji #nawrocki #piotrgaglik",0,0,0,0,10-06-25,221,28,,https://nitter.net/RadioMaryja/status/1932414947171958966#m
8,SzpilaArcher,"Panie Gortat, osoby nie znające daty chrztu Polski nie powinny się wypowiadać ws. polityki tego pięknego państwa polskiego. No chyba, ze chce Pan dalej z siebie czy POwcow robić debili. Gratuluję! 🥳 #gortatdebil #jebaćGortata #jebaćGortata #Wybory2025",0,0,0,0,10-06-25,251,36,,https://nitter.net/SzpilaArcher/status/1932414096785158355#m
2,JanIIISobiesk16,"Każdy poseł @nowePSL i #PL2050 (i inny), który podniesie rękę za przedłużeniem funkcjonowania rządu #Tusk'a, powinien poczuć się, jakby osobiście wstrzykiwał 9-cio miesięcznemu dziecku w serce dawkę chlorku potasu. Dzieje się to pod waszą sejmową ochroną!!! #Wybory2025 #psl2025",0,0,0,0,10-06-25,278,38,,https://nitter.net/JanIIISobiesk16/status/1932435559798206615#m
7,alojjola,Ludzie uczcie się ☝️ Nie ma możliwości żeby Szymon Hołownia przęjął obowiązki prezydenta. Prezydent został wybrany przez Naród i jest nim Karol Nawrocki! @jerzKwasniewski ⤵️ #NawrockiPrezydent2025 #Wybory2025,0,75,2,77,09-06-25,208,27,,https://nitter.net/alojjola/status/1932130993567121806#m
9,AndrzejOlkiewi,#Tusk ? czy jeszcze ktoś wątpi że to niemiecki pachoł? #BylenieTusk🇩🇪 #TuskDoDymisji #NawrockizaRozwojem #NawrockizaCPK 🇵🇱 #WyboryPrezydenckie2025 #Wybory2025 #TrzaskNASK #NASK #NASKowski #NASKTrzask #Prezydent2025 #NawrockiPrezydent2025,1,18,1,20,04-06-25,237,23,,https://nitter.net/AndrzejOlkiewi/status/1930107531155611673#m
10,milo66LFC,Ktos mi wytlumaczy o co chodzi z tymi gminami na podlasiu czm tam zawsze PO wygrywa #WyboryPrezydenckie2025 #Wybory2025,0,1,2,3,02-06-25,119,18,,https://nitter.net/milo66LFC/status/1929499455872541101#m
3,FremdenlegionPL,To już pewne 🇵🇱💪 Zrobiliśmy to❕❗️❕❗️❕❗️ Karol Nawrocki został wybrany w demokratycznych wyborach: PREZYDENTEM Rzeczypospolitej Polskiej 🇵🇱🇵🇱🇵🇱🥊🥊🥊 Hahahaha!!!! Jest 💪💪💪💪💪💪💪 Pora zrobić w tym burdelu Tuska porządek! #Wybory2025 #WyboryPrezydenckie2025,1,267,53,321,02-06-25,249,29,,https://nitter.net/FremdenlegionPL/status/1929332287935492170#m
7,JanIIISobiesk16,"Każdy poseł @nowePSL i #PL2050 (i inny), który podniesie rękę za przedłużeniem funkcjonowania rządu #Tusk'a, powinien poczuć się, jakby osobiście wstrzykiwał 9-cio miesięcznemu dziecku w serce dawkę chlorku potasu. Dzieje się to pod waszą sejmową osłoną!!! #Wybory2025 #psl2025",0,0,0,0,10-06-25,277,38,,https://nitter.net/JanIIISobiesk16/status/1932452034604654713#m
9,tadajewski,"„Są takie chwile, gdy człowiek musi wybrać między spokojem a honorem. A ja nigdy nie miałem spokojnego życia.” Mordimer Maderdin @JacekPiekara #Wybory2025",2,62,7,71,07-06-25,154,22,,https://nitter.net/tadajewski/status/1931389755217850663#m
10,wladyslawmazur1,TARCZYŃSKI PROSTO Z MOSTU! #wybory2025 piped.video/shorts/Z7_Zp06Eg… przez @YouTube,0,0,0,0,10-06-25,83,8,,https://nitter.net/wladyslawmazur1/status/1932447129110487191#m
1,czardam,"Pan @McGramat ma oczywiście racje - Prezydent @AndrzejDuda na prawie 200 ustaw zawetował sześć, a siedem wysłał do TK. Mit ""wszystko-blokującego"" Prezydenta wymyślił Premier @donaldtusk, aby przykryć niemoc Koalicji, a także mobilizować swoich wyborców przed #wybory2025. Prezydent @AndrzejDuda wielokrotnie sygnalizował, że jest gotowy na współpracę z Rządem w wielu kwestiach, ale jeszcze do niedawna ta gotowość była ignorowana. A szkoda.",0,8,0,8,10-06-25,441,60,,https://nitter.net/czardam/status/1932475345795481887#m
7,Zabrze24Info,Borys Borówka pierwszym oficjalnym kandydatem w przedterminowych wyborach prezydenckich w Zabrzu. Szczegóły i wideo ⬇️ zabrze24.info/borys-borowka-… #zabrze #zabrze24info #portal #Wybory2025 @Borys_Borowka @UMZabrze,0,0,0,0,10-06-25,215,22,,https://nitter.net/Zabrze24Info/status/1932474545635459402#m
8,JKowalskyPL,"""Ballada o Rafałku"" 🔥🎤🎵 #Wybory2025 #Polska #Nawrocki2025 #trzaskowski2025 @prezydentpl @Nawrocki25 piped.video/watch?v=ofuG1ADL…",0,1,0,1,08-06-25,129,11,,https://nitter.net/JKowalskyPL/status/1931676624375755116#m
10,RuchNarodowy,"BOMBA🔥 ""Ballada o Rafale"" ‼️ Posłuchajcie i oglądajcie do końca, bo puenta jest ważna, a każdy wers przemyślany! Autor i wykonanie @LWiadrowska 😎 #Wybory2025 #nawrocki2025 #trzaskowski2025",17,280,20,317,03-06-25,188,26,,https://nitter.net/RuchNarodowy/status/1929868907780714779#m
2,invictus_7777,"zauważyłem żejak w polsce idzie ci w pracy, to szybko się okazuje że albo ćpasz albo kradniesz w ten sposób narobisz się i nie zarobisz bo ci nie dadzą więc jaki sens pracy #Wybory2025 @tvn24",0,0,0,0,10-06-25,191,35,,https://nitter.net/invictus_7777/status/1932498582395101685#m
3,KrzysztofS2001,Ale razem też poparło rząd Tuska w 2023. A poza tym nawet jeśliby tak nie było to powinniśmy współpracować aby nie dopuścić do koalicji Konfede-pis 2027,0,0,0,0,10-06-25,152,26,,https://nitter.net/KrzysztofS2001/status/1932498384042275146#m
4,szykom89,"Prokuratura Okręgowa w Warszawie dostała zawiadomienie przeciwko @DariuszMatecki. Chodzi o aplikację posła @pisorgpl #PiS, która mogła wpływać przestępczo na wybory prezydenckie. Prokuratura otrzymała zawiadomienie to od #ABW. #Prezydent2025 #matecki #Wybory2025 #PiStoMafia",0,2,1,3,10-06-25,274,31,,https://nitter.net/szykom89/status/1932492918721225179#m
5,AnitaSchelde,Hahahaha nie pomógł ani alfons ani prostytutki ! To ja koncyliacyjnie skleję dwie Polski i podsumuję #Wybory2025 : na POHYBEL skurwysynom 😂😂😂 !,0,131,38,169,02-06-25,143,23,,https://nitter.net/AnitaSchelde/status/1929588592575143978#m
2,alojjola,Nielegalne finansowanie kampanii Rafała Trzaskowskiego‼️ o tym nie wolno zapomnieć #Wybory2025 #WyboryPrezydenckie2025,0,23,0,23,10-06-25,118,12,,https://nitter.net/alojjola/status/1932511716149182736#m
6,Mandarynka827e7,Niestety to było do przewidzenia #Wybory2025,0,1,0,1,02-06-25,44,6,,https://nitter.net/Mandarynka827e7/status/1929389235687022653#m
7,Silv3stroo,Rok 2055: Tomasz Lis nadal domaga się powtórnego liczenia głosów z wyborów prezydenckich w 2025 roku #Wybory2025 #Polska,0,0,0,0,10-06-25,120,18,,https://nitter.net/Silv3stroo/status/1932510387091456327#m
145,adam_zawadzki,W #Wybory2025 w Polsce powołano 31 073 komisje wyborcze. Do tej pory – czyli na dzień 10 czerwca 2025 roku – do Sądu Najwyższego wpłynęły aż 61 protestów wyborczych. (Mogą zgłaszać do 16 czerwca) Zapewne jak 1 czerwca o 21:01 wygra zdecydowanie @trzaskowski_ Kto za ?,0,0,0,0,10-06-25,267,46,,https://nitter.net/adam_zawadzki/status/1932520313729716540#m
4,chieferson,"Panie piłkarzu, a co pan myśli o wyborach prezydenckich? #FINPOL #Probierz #PZPN #WyboryPrezydenckie2025 #Wybory2025",0,0,0,0,11-06-25,116,14,,https://nitter.net/chieferson/status/1932705839087046957#m
5,Malgosia3310,"Już dzień dobry Aluś ❤️😘 Tak...#Wybory2025 już za...został smutek i żal...nie tak to miało wyglądać...ale trzeba się otrząsnąć...I jadziem dalej ‼️ Tak szybko Nas nie złamią..✌️ Jak jesteś ""kibicem"" to na dobre i na złe... #idezTuskiem #Trzaskowski 🤍❤️",0,2,0,2,05-06-25,252,38,,https://nitter.net/Malgosia3310/status/1930513202325914003#m
6,Alicja80717757,Dobrej nocy Małgoś🙋🏼‍♀️😘❤️ Ale to już było #Wybory2025 Wielkim żalem się skończyło W sercu smutek W oku łezka 🥲 Snus kaczego to groteska My walczymy dalej My się nie poddamy✌🏻 #idezTuskiem Murem za @trzaskowski_ 🤍❤️,0,2,1,3,04-06-25,215,35,,https://nitter.net/Alicja80717757/status/1930402435845018045#m
8,Polityczny_Bajz,"Nowy sondaż! KO na czele, PiS i Konfederacja rosną. Lewica i Trzecia Droga spadają 📉📊 Znamy najnowsze wyniki sondażu United Surveys dla Wirtualnej Polski (06–08.06.2025): 📈 KO – 33 #PolitycznyBajzel #Sondaż #Wybory2025 #Konfederacja #KO #PiS #Lewica #TrzeciaDroga #WP #Braun",0,0,0,0,11-06-25,274,39,,https://nitter.net/Polityczny_Bajz/status/1932690027231805693#m
12,AlexandraGolda,#wieczòrwyborczy #wybory2025,1,47,29,77,18-05-25,28,2,,https://nitter.net/AlexandraGolda/status/1924139257938980922#m
15,Wierzbicky31337,Dzień dobry D: #przyjacielerepubliki #PiachemWTryby #Wybory2025,1,10,9,20,04-06-25,63,6,,https://nitter.net/Wierzbicky31337/status/1930117234589851980#m
193,dementorzy,#Wybory2025-Czy wybory mogą być powtórzone w zgodzie z prawem UE? TAK Austria w 2017r. borykała się z podobnym probl. co PL obecnie: -na poziomie ideologicznym i -nieprawidłowości podczas wyborów Tamtejszy TK zarządził powtórzenie całej procedury wyborczej newsweek.pl/swiat/wybory-pre…,2,68,2,72,10-06-25,286,37,,https://nitter.net/dementorzy/status/1932374747779592333#m
199,zachodni,Reżyserka ze Śląska w polskiej ambasadzie w Berlinie skomentowała wybór Karola Nawrockiego. Politycy prawicy: „Kolejny skandal”. dziennikzachodni.pl/ar/c1p2-… #WyboryPrezydenckie2025 #wybory2025 #Nawrocki,1,1,0,2,08-06-25,204,20,,https://nitter.net/zachodni/status/1931660319882989879#m
201,AndrzejOlkiewi,Tusk skansen z Polski robi Niemcy składają gratulacje i biją Tuskowi brawo. #Tusk uwalił projekt #żeglownaOdra ma powstać #ParkNarodowy #dolinadolnejOdry #zielonyład #TakdlaCPK #Takdlaatomu #TakDlaRozwoju #Wybory2025 #Nawrocki2025 #NawrockizaRozwojem 🇵🇱 #ByleNieTrzaskowski 🇩🇪,1,12,1,14,29-05-25,276,30,,https://nitter.net/AndrzejOlkiewi/status/1928034387485929489#m
502,Konserwatysta01,"W momencie gdy #Nawrocki2025 rozmawia już z prezydentem USA, jest zapraszany do Białego Domu, walczy o polskie interesy na świecie... gdzieś w cieniu grupa politycznych przegrywów knuje jak pozbawić urzędu prezydenta elekta🤦‍♂️ #TuskDoDymisji #Wybory2025",0,0,0,0,11-06-25,254,34,,https://nitter.net/Konserwatysta01/status/1932673395625238781#m
