id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link,hashtag,date,content,interactions
740.0,KocurekBozena,Bożena Kocurek @KocurekBozena 31s Replying to @WiolaPaprocka @trzaskowski_ GIF,0,0,0,0.0,"Jun 3, 2025 · 5:04 PM UTC",78.0,9.0,,,,,,
749.0,Tomek946982,Tomek @Tomek946982 57s Replying to @DanielTrzaska0 @szymon_holownia @trzaskowski_ @donaldtusk @Platforma_org,0,0,0,0.0,"Jun 3, 2025 · 5:03 PM UTC",108.0,10.0,,,,,,
750.0,Marek21694000,DziadekKlozetowy @Marek21694000 58s Replying to @WiolaPaprocka @trzaskowski_,0,0,0,0.0,"Jun 3, 2025 · 5:03 PM UTC",76.0,7.0,,,,,,
762.0,JerzyTalaga,"Kiepski kandydat, kiepski sztab, wynik był do przewidzenia. Naprawdę nikt was nie zdaje sobie sprawy, że ktoś z tak dużym elektoratem negatywnym nie ma żadnych szans w wyborach?",0,0,0,0.0,"Jun 3, 2025 · 5:04 PM UTC",177.0,28.0,,,,,,
763.0,Moni_W_priv,"No wygrał Alfons Batyr a Wam sie wydaje że już wszystko możecie. Buta i chamstwo wypada z każdego pisiego konta. Emocje zaraz opadną, poczekajcie na prokuraturę to zobaczymy kto i co będzie komentował na X",0,0,0,0.0,"Jun 3, 2025 · 5:04 PM UTC",205.0,35.0,,,,,,
765.0,annahanzel1,"Bo byli pewni, że wygra Trzaskowski.",0,0,0,0.0,"Jun 3, 2025 · 5:04 PM UTC",36.0,6.0,,,,,,
766.0,USotysik,Bez komentarza 🫵 #Braun,0,2,1,3.0,"Jun 3, 2025 · 11:30 AM UTC",23.0,4.0,,,,,,
767.0,ruda_mil,Pani przeprosiny mam gdzieś. Oblała pani egzamin po całości. Twiterowicze nie byli wsparciem tylko odwalali robotę za was! A wy byliście kulą u nogi Rafała.,0,0,0,0.0,"Jun 3, 2025 · 5:04 PM UTC",156.0,25.0,,,,,,
768.0,TycznyRoman1,Jak to było? Moherowe berety? Zabierz babci dowód?,0,0,0,0.0,"Jun 3, 2025 · 5:04 PM UTC",50.0,8.0,,,,,,
769.0,Dariusz51859798,Masz rodzinę gangstera Alfonsa i sutenera co on z nimi zrobił że tak skandalicznie się zachowują,0,0,0,0.0,"Jun 3, 2025 · 5:04 PM UTC",96.0,16.0,,,,,,
784.0,KocurekBozena,Bożena Kocurek @KocurekBozena 54s Replying to @WiolaPaprocka @trzaskowski_ GIF,0,0,0,0.0,"Jun 3, 2025 · 5:04 PM UTC",78.0,9.0,,,,,,
792.0,Tomek946982,Tomek @Tomek946982 1m Replying to @DanielTrzaska0 @szymon_holownia @trzaskowski_ @donaldtusk @Platforma_org,0,0,0,0.0,"Jun 3, 2025 · 5:03 PM UTC",107.0,10.0,,,,,,
