id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
278,OOUncoolOO,"Może Nawrocki jest alfonsem, ale to na Trzaskowskiego głosowały głównie kurwy.",0,0,0,0,"Jun 4, 2025 · 6:57 PM UTC",78,11,
279,Piotr20038489,Możesz być dumna z mamy bo i tobie zaszczepiła prawdziwe wartości.Pozdowienia dla mamusi,0,0,0,0,"Jun 4, 2025 · 6:57 PM UTC",88,13,
280,Load newest,Brak treści,0,0,0,0,,11,2,
281,jachcy,Karol Nawrocki będzie mial immunitet⁉ To może chociaż rozliczmy jego żonę🤡,3,37,32,72,"Jun 4, 2025 · 6:49 PM UTC",74,11,
282,PrawaStronaa,"Karol Nawrocki przygotowuje pozwy dla ludzi którzy publicznie w kampanii nazywali go ""gangusem"" i ""sutenerem""",28,569,327,924,"Jun 4, 2025 · 2:47 PM UTC",109,15,
283,KoneserUnii,PILNE Prezydent Elekt Nawrocki będzie pozywał tych co Go nazywali Sutenerem,12,381,255,648,"Jun 4, 2025 · 3:59 PM UTC",75,11,
284,KamraciRodacy,Ponad 200 tysięcy nadmiarowych zgonów wzięło się z procedur depopulacyjnych gorliwie wprowadzanych w życie przez PiS. PiSowcy z premedytacją mordowali Polaków. W stręczeniu preparatów depopulacyjnych brał udział również Karol Nawrocki.,0,30,8,38,"Jun 4, 2025 · 6:23 AM UTC",235,30,
285,PierreMarionnet,"Karol Nawrocki, le nouveau président polonais, exige qu'Ursula et l'UE respectent la souveraineté des nations européennes et les valeurs chrétiennes. Bravo. Ca part fort !",64,2666,204,2934,"Jun 3, 2025 · 6:10 PM UTC",171,25,
286,MurzynfrogXXX,Karol Nawrocki zyskuje w moich oczach. KęKę GOAT.,9,140,78,227,"Jun 4, 2025 · 2:41 PM UTC",49,8,
287,Bob57PL,"Bzdury opowiadasz. Media nie podały żadnych danych wrażliwych podopiecznego, zrobił to sam Nawrocki oraz Czarnek. Opiekunka opowiedziała o okolicznościach potencjalnego przestępstwa, ta sprawa powinna rozstrzygnąć się w prokuraturze!",0,8,3,11,"Jun 4, 2025 · 6:20 PM UTC",233,28,
288,tomalxbr,"Le nouveau président polonais, Karol Nawrocki, a appelé l'Union européenne à respecter la souveraineté des nations européennes et les valeurs chrétiennes.",5,151,14,170,"Jun 4, 2025 · 12:35 PM UTC",154,21,
289,Inevitablewest,BREAKING: New Polish President Karol Nawrocki demands Ursula & the EU respects European nations sovereignty and Christian values Poland is leading from the front.,273,9823,730,10826,"Jun 3, 2025 · 11:57 AM UTC",162,24,
290,RepublikaTV,Niemcy i Tusk nie odegrają żadnej roli - USA i Nawrocki nadaje nowy ton #włączprawdę #TVRepublika tvrepublika.pl/Polska/USA-i-…,2,113,9,124,"Jun 4, 2025 · 1:50 PM UTC",127,17,
291,HubnerrMax,"Czegoś takiego jeszcze nie było! Prezydent Elekt Karol Nawrocki dostał mnóstwo gratulacji od zagranicznych przywódców na X, a my mielismy zaszczyt obserwować jego odpowiedzi. Doskonałe, inteligentne i wskazujące na twardy kierunek polityki zagranicznej. Zapraszam na nitkę.",7,178,13,198,"Jun 4, 2025 · 4:35 PM UTC",273,36,
292,zofiaswiderek_,W 2020 wychodziliśmy na ulice w obronie praw kobiet. Dziś Karol Nawrocki dostaje głosy. Serio? Co się stało?,15,117,496,628,"Jun 3, 2025 · 10:12 PM UTC",108,18,
293,Margarynn,Oddałam głos na Nawrocki bo - nienawidzę innych ludzi - kobiet też nienawidzę - nabieram się na najchujowszą propagandę - pfft brap pruk pierd,3,93,46,142,"Jun 3, 2025 · 12:35 PM UTC",142,24,
