id,username,fullname,text,likes,retweets,replies,quotes,date,word_count,text_length,link
916,Paternina_Hugo,Hugo Paternina,El Pte Nawroki empieza diciendo primero los polacos y luego termina violentando a los más pobres de dicho pais y expulsando de paso a migrante y refugiados/as. youtu.be/TjzD0gas514?si=xPW5…,1,0,0,0,"Jun 3, 2025 · 9:03 PM UTC",28,189,https://nitter.privacyredirect.com/Paternina_Hugo/status/1930007566932947194#m
917,MSiemek,Hans Brunner,Można? Za ryj bandytów. To samo z Nawroki i dupą.,4,1,0,0,"Jun 3, 2025 · 9:03 PM UTC",10,49,https://nitter.privacyredirect.com/MSiemek/status/1930007357645607254#m
918,KuraginAnatol,Anatol,NAWROKI milusia jest ; ),1,0,0,0,"Jun 3, 2025 · 7:47 PM UTC",5,24,https://nitter.privacyredirect.com/KuraginAnatol/status/1929988342814249296#m
919,Kiedysbedziegit,Pomarańczowy Król,Nawroki chce do 2030 przyjąc 189 mln imigrantów wyłącznie z afryki! Pytacie dlaczego należy te wybory unieważnic? Dlatego!,1,0,0,0,"Jun 3, 2025 · 7:10 PM UTC",18,122,https://nitter.privacyredirect.com/Kiedysbedziegit/status/1929978936160621005#m
920,PiotrSemka,Piotr Semka,"Rzeczniczka Białego Domu uczy się jak wymawiać nazwisko polskiego prezydenta- elekta. Początkowo wymówiła je "" ""Nawroki"" ale po chwili poprawiła się i wymówiła je ""Nawrotski"". facebook.com/share/v/1BVv5he…",61,15,1,1,"Jun 3, 2025 · 7:09 PM UTC",26,205,https://nitter.privacyredirect.com/PiotrSemka/status/1929978661563756976#m
921,AngOfDeath89,Angel of Death,Nawroki mulțumind președintele României,0,0,1,0,"Jun 3, 2025 · 6:38 PM UTC",4,39,https://nitter.privacyredirect.com/AngOfDeath89/status/1929970886469472377#m
922,charlesmolesphi,chaeles molesphini,Congratulations President Nawroki. Poland will be safe now.,5,0,0,0,"Jun 3, 2025 · 4:04 PM UTC",8,59,https://nitter.privacyredirect.com/charlesmolesphi/status/1929932205347795074#m
923,DineroEnImagen,Dinero en Imagen,"#KarolNawrocki , un historiador nacionalista con experiencia en el estudio del crimen, fue elegido presidente de #Polonia tras unas reñidas elecciones celebradas el domingo. dineroenimagen.com/actualida…",0,0,0,0,"Jun 3, 2025 · 2:00 PM UTC",25,203,https://nitter.privacyredirect.com/DineroEnImagen/status/1929900880696095012#m
924,MSiemek,Hans Brunner,"Uwaga, twórczość Nawroki.",0,0,0,0,"Jun 3, 2025 · 1:59 PM UTC",3,25,https://nitter.privacyredirect.com/MSiemek/status/1929900688919740818#m
925,bapanbkv,Bapan.k,"“My Poland is a Poland where instead of immigrant (Muslim) integration centers, there are deportation centers for those who want to destroy our country!” -- Karol Nawroki, President, Poland 🇵🇱 The Muslim population in Poland is very small, less than 0.1% of the total population. There has not been a single terrorist attack in the European country of Poland, while there have been many in countries such as France, Germany, England, Italy, Belgium, Switzerland, etc.",0,0,0,0,"Jun 3, 2025 · 1:27 PM UTC",75,467,https://nitter.privacyredirect.com/bapanbkv/status/1929892665904247002#m
