id,username,fullname,text,likes,retweets,replies,quotes,date,word_count,text_length,link
97,Zuzanna19194,Zuzanna,"Dobrze, ale: Zobacz co zrobił dzisiaj w Warszawie czarny kąt białemu człowiekowi!!!!!! Gdzie policja??",0,0,0,0,"Jul 22, 2025 · 12:15 PM UTC",14,102,https://nitter.net/Zuzanna19194/status/1947631635140362610#m
98,Drzymalski_,Jarosław Drzymalski,Uważam że Rafał Trzaskowski powinien osobiście się tam zespawnować i zareagować.,0,0,0,0,"Jul 22, 2025 · 12:15 PM UTC",11,80,https://nitter.net/Drzymalski_/status/1947631486603067445#m
99,Micha88973412,Michał,Wg sondaży to Trzaskowski mial wygrać z dużą przewagą głosów. To są takie właśnie tendencyjne pytania tam. Ciekawostką jest na pewno to ze Wam sie pytania nie podobały w referendum bo tendencyjne ale juz w takim badaniu sie podobają bo wyniki wyszły ok.,0,0,0,0,"Jul 22, 2025 · 12:14 PM UTC",43,253,https://nitter.net/Micha88973412/status/1947631324518617577#m
100,Abbdieel,Abdiel 🇵🇱 🇵🇱 #GrzegorzBraun 🇵🇱 🇵🇱,"taaa...., takie yntelygenty jak ty tylko wierzą w badania i sondaże, zatem jak tam wasz prezydent Polski Trzaskowski, miał niby w przedbiegach wygrać z Nawrockim?",0,0,0,0,"Jul 22, 2025 · 12:14 PM UTC",25,162,https://nitter.net/Abbdieel/status/1947631280151056405#m
101,Marek1784427,Marek,"Naprawdę my Polacy mamy dużo szczęścia, że nie wygrał Trzaskowski wyborów, bo nie długo bylibyśmy landem niemieckim.",48,22,3,0,"Jul 22, 2025 · 10:41 AM UTC",17,116,https://nitter.net/Marek1784427/status/1947607973372825874#m
102,HubnerrMax,Max Hübner,"Wiecie co jest najbardziej zabawne? Że wśród dziennikarzy i polityków związanych z rządem, chodzą plotki, że to Karol Nawrocki, a nie Rafał Trzaskowski, był bardziej stratny na ""błędach"" w wytypowanych komisjach ""przeliczanych"" przez Bodnara. Ależ to by była piękna katastrofa.",166,33,13,0,"Jul 22, 2025 · 11:37 AM UTC",40,277,https://nitter.net/HubnerrMax/status/1947622061725143502#m
103,ny_1337,ny_1337,"Spoko, za pół roku pewnie się będziesz z nim ruchać znając ciebie xD",43,2,0,0,"Jul 22, 2025 · 7:44 AM UTC",13,68,https://nitter.net/ny_1337/status/1947563309542133897#m
104,CDzwoni,Zygfryd Czaban,"Wiecie, że Trzaskowski pewnie by wygrał gdyby nie Murański?",1057,113,167,9,"Jul 21, 2025 · 7:41 PM UTC",9,59,https://nitter.net/CDzwoni/status/1947381351403213075#m
105,RodzinaTreflik,RodzinaTreflików,Te! Gospodarz! Jakieś trzaskanie pod twoim balkonem widać,0,0,0,0,"Jul 22, 2025 · 12:12 PM UTC",8,57,https://nitter.net/RodzinaTreflik/status/1947630732421341312#m
106,Int_Wydarzenia,Interia,"Informacja o porzuceniu przez @trzaskowski_ inicjatywy Campus Polska oraz zaproszenie @Andruszkiewicz1 do Pałacu Prezydenckiego - to dwie strony medalu. To odpowiedź na pytanie, kto lepiej w polityce daje szansę młodym ludziom @kuiszjaroslaw wydarzenia.interia.pl/feliet…",8,2,1,0,"Jul 22, 2025 · 11:56 AM UTC",33,271,https://nitter.net/Int_Wydarzenia/status/1947626837204439362#m
107,SebDepisizator,Sebix #SPoW🇮🇱🇪🇺🇺🇳🇱🇧,Bo jest tchórzem 🤷 w dodatku bez jaj i woli walki o swoje,0,0,0,0,"Jul 22, 2025 · 12:11 PM UTC",13,57,https://nitter.net/SebDepisizator/status/1947630652729204744#m
108,Ppawcio20,Pawcio 🇵🇱 ⚫⚪🔴⚫,"Kretyn, który pieprzył głupoty, że Rosjanie gonią resztkami sił 🤦‍♂️ Ps. KIEDY nowy stadion dla @Polonia1911 który miasto ma zbudować ??? wiadomosci.radiozet.pl/Gosc-…",0,0,0,0,"Jul 22, 2025 · 12:11 PM UTC",22,167,https://nitter.net/Ppawcio20/status/1947630542414921911#m
109,MarekMa25175489,Marek Markowski,"Wy nawet nie macie pojęcia jakiego nieszczęścia uniknęła Polska wybierając na Prezydenta RP @NawrockiKn Gdyby wygrał Trzaskowski już dzisiaj mieliby gotowe czekające na podpis ustawy o cenzurze, o migracji, o oddaniu Polski w ręce Niemiec. Jeszcze Polska nie zginęła.",3632,762,177,8,"Jul 20, 2025 · 12:57 PM UTC",39,267,https://nitter.net/MarekMa25175489/status/1946917384817664433#m
110,Anna_Hev,HAnna Hevert,"Wymiarem sprawiedliwości rządzi PiS, czy KO15X? Wybory wygrał Trzaskowski, czy alfons? ... bo to Polska właśnie.",107,13,33,0,"Jul 22, 2025 · 9:10 AM UTC",16,112,https://nitter.net/Anna_Hev/status/1947584997705322538#m
111,rygula1,Piotr 🇵🇱🇺🇦🇪🇺🇺🇸,"Wstyd robić campus, skoro przegrało się wybory na prezydenta Polski. Chyba że byłaby tam stypa.",0,0,0,0,"Jul 22, 2025 · 12:10 PM UTC",15,95,https://nitter.net/rygula1/status/1947630396562092118#m
112,StalinPols19583,Wiktor #PatriociRAZEM,Demokracja liberalna jest wtedy gdy Trzaskowski wygrywa,0,0,0,0,"Jul 22, 2025 · 12:10 PM UTC",7,55,https://nitter.net/StalinPols19583/status/1947630270816911748#m
113,MrJohnBingham,John Bingham,"Warszawa Rafała @trzaskowski_ , przy wsparciu finansowym @Grupa_PGE , uroczyście świętuje 70-lecie stalinowskiego symbolu zniewolenia Polaków.",72,35,4,1,"Jul 22, 2025 · 11:24 AM UTC",16,142,https://nitter.net/MrJohnBingham/status/1947618784446980154#m
114,Wieslaw_Pele,Wiesław 🇵🇱,Prezydent Warszawy to maks. Pańskiej kariery politycznej. Paradoksalnie jest to dobra wiadomość dla Polski.,41,6,2,0,"Jul 21, 2025 · 12:14 PM UTC",14,107,https://nitter.net/Wieslaw_Pele/status/1947269051002019901#m
115,PlPrzemys,Przemysław Pl,"3% Janusza? W każdym społeczeństwie jest grupa ludzi określane debilami (termni medyczny). Ci upodobali sobie JKM, a ten zeruje na nich jak pijawka (wmawiając im, ze są elita bo na niego glosuja). Cykl sie zamyka, ale nie nie boli mnie jego 3%.",0,0,1,0,"Jul 22, 2025 · 12:09 PM UTC",42,244,https://nitter.net/PlPrzemys/status/1947630160569569287#m
