id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link,fullname,quotes,date,hashtag,content,interactions
8.0,szkolaszpiegow,"""Członk. komisji moga w razie watpliwosci korzystac z wszelkich dost. metod weryf, przy czym w razie braku mozliwosci weryf. wyborcy nie jest dopuszczalne wydanie karty do glosowania"" Cwane: paragraf rozszerza weryfikację poza weryf. tozsamosci. App Mateckiego tez sluzyla weryf.",0,14,5,19.0,10-06-25,279.0,39.0,,https://nitter.net/szkolaszpiegow/status/1932354007764226099#m,,,,,,
9.0,DawidWildstein,"Najsmutniejszej jest to, że o ile te medialne cyngle i ich mocodawca Premier ewidentnie przegrali to co chcieli, z powodu występu z Muranem, to jednoczesnienwygrali bardzo dużo. Proste pytanie. Ile mówi się o nielegalnym, zewnętrznym finansowaniu kampanii pro Trzaskowski? O działaniach będących de facto próbą skręcenia wyborów, w których uczestniczyli nie tylko politycy PO, ich ludzie z Akcji Demokracja, ich zagraniczni partnerzy, ale i chroniące ich instytucje państwowe, takie jak NASK? A przecież to jedna z największych afer w dziejach 3 RP. Ile się mówi o prowokacjach służb państwa? No właśnie. 9/11",0,144,3,147.0,27-05-25,609.0,92.0,,https://nitter.net/DawidWildstein/status/1927308562214089174#m,,,,,,
10.0,Piotus_Pa,Tak dokładnie przewidzieliście prezydenckie że wszyscy wam wierzą,0,0,0,0.0,10-06-25,65.0,8.0,,https://nitter.net/Piotus_Pa/status/1932390501702881486#m,,,,,,
11.0,tortlad,Trzaskowski to lgbt,0,0,0,0.0,10-06-25,19.0,3.0,,https://nitter.net/tortlad/status/1932390485085090299#m,,,,,,
13.0,bezna19040,"Panie teraz Pan to piszesz? Po fakcie? Co Wy tam robicie? Dwa lata niedługo miną i jak na razie popisujecie się ""twórczością literacką"" na X. JPRDL",0,1,0,1.0,10-06-25,147.0,26.0,,https://nitter.net/bezna19040/status/1932333425463280071#m,,,,,,
14.0,AdamskaDag99242,to dlatego Trzaskowski przegrał? xd,0,0,0,0.0,10-06-25,35.0,5.0,,https://nitter.net/AdamskaDag99242/status/1932390396417761333#m,,,,,,
15.0,ErnstDobrzynski,"1,5 roku co Państwo zrobiliście żeby zreformować tą archaiczną instytucje? Panie Pośle nie macie już dzisiaj moralnego prawa narzekać na instytucje Państwa- bo 1,5 roku choć na wprowadzenie zmian jest krótkim okresem to można realnie planować i procesować zmiany.",0,0,0,0.0,10-06-25,263.0,39.0,,https://nitter.net/ErnstDobrzynski/status/1932329263836918203#m,,,,,,
16.0,ireknikos2,"No w Chinach ,Białorusi , Rosji wygrał @trzaskowski_ sama sobie odpowiedz.",0,0,0,0.0,10-06-25,74.0,11.0,,https://nitter.net/ireknikos2/status/1932390380898558217#m,,,,,,
17.0,Barbarzyna1,"A jak Pan myśli, ilu z tych 10 mln pójdzie na wybory w 2027r? Krótko trwała ta demokracja w Polsce.",0,1,0,1.0,10-06-25,99.0,20.0,,https://nitter.net/Barbarzyna1/status/1932347846881141034#m,,,,,,
18.0,MariuszGierej,"Obiecałem, ja słowa dotrzymuję 🤫",0,0,0,0.0,10-06-25,32.0,5.0,,https://nitter.net/MariuszGierej/status/1932390312690819578#m,,,,,,
